id;exist;time
67734766;false;10692
24044547;false;3421
87784079;false;2139
14243680;false;3422
84152827;false;2565
36639489;false;2139
21376372;false;1711
91300293;false;2138
70373671;false;2138
21894086;false;1283
14774674;false;2138
37110881;false;1711
24313537;false;1710
59767302;false;3849
71531691;false;2139
65493659;false;2566
2941148;false;41055
88325629;false;2139
96724497;false;2138
96101907;false;1283
44575587;false;2994
42938533;false;2139
84288896;false;1710
52791849;false;2138
96512247;false;1710
8363023;false;2566
11050395;false;1710
1211740;false;1710
22491589;false;2138
76075826;false;1711
77537791;false;1711
41742992;false;1710
64603176;false;2138
32583096;false;856
2270110;false;1711
90000100;false;1283
23007747;false;1283
98892877;false;855
62887011;false;2138
20041425;false;1283
44433755;false;1711
11406316;false;1283
14484059;false;1283
73621328;false;1711
69277154;false;1710
37482486;false;1283
94998285;false;1283
52923784;false;1710
61037558;false;1711
38607794;false;2566
41534713;false;1710
54896489;false;1283
93691811;false;1711
54554529;false;1283
96046739;false;1711
9001355;false;1711
27515182;false;2138
57325337;false;1710
54409958;false;1711
80298633;false;2138
62995603;false;1711
68640475;false;1710
75305054;false;1283
37757110;false;2139
88846731;false;1283
75028843;false;1711
4697460;false;1283
83380383;false;1283
56047954;false;1282
23593737;false;1711
76125542;false;1283
83668143;false;1283
20770535;false;1283
57435841;false;855
43770222;false;1710
94037549;false;1710
90596472;false;1711
64676373;false;1710
3592352;false;856
5806189;false;856
34028499;false;1711
93602639;false;1283
98657281;false;856
35680151;false;1710
98792004;false;856
23018259;false;1283
83153666;false;1283
74657386;false;1283
97625452;false;855
35287247;false;1283
43194207;false;1283
71930533;false;1710
75861310;false;1283
36165721;false;1283
81729551;false;1711
68339966;false;1283
15768619;false;1711
32579182;false;1283
12361969;false;1283
57413248;false;1283
7091123;false;1710
83952782;false;1283
74474376;false;1283
58327634;false;1283
57834543;false;1283
73705280;false;1283
66092206;false;1711
18354001;false;1711
89087971;false;1283
1583095;false;856
9888139;false;1283
22227927;false;1283
41916168;false;856
93314537;false;856
69613655;false;1711
84438168;false;855
53349009;false;1711
44133835;false;1283
19168101;false;1282
37731244;false;1711
4713384;false;1711
45568858;false;1711
29283700;false;1710
80949483;false;1711
84069438;false;855
12665508;false;1283
61913262;false;1711
42646082;false;1710
85177074;false;1711
85163868;false;428
76839890;false;1283
95153301;false;1711
98338935;false;855
8830539;false;1283
54939790;false;1283
77253590;false;855
42829090;false;1283
69691079;false;1283
84091581;false;855
76475723;false;855
82857313;false;1710
27546597;false;1711
72649937;false;1283
59412451;false;2138
72851783;false;1283
62767517;false;1711
72694285;false;1282
69216903;false;1283
72802418;false;1283
48806385;false;1283
1854079;false;1283
94683394;false;855
45364152;false;1283
95439271;false;1283
20544001;false;1283
76254597;false;1283
89842929;false;1710
50002714;false;1711
11331888;false;1710
29206389;false;1283
61975723;false;1711
79375899;false;1710
16712143;false;1283
95021091;false;1711
26252656;false;1710
53417634;false;1283
79985231;false;1283
47709620;false;2138
80604548;false;1710
14227580;false;855
31947222;false;1711
98786336;false;856
54159244;false;1283
3027585;false;1283
84768636;false;1283
75336205;false;856
64821739;false;1710
74657582;false;428
33307254;false;1711
60831354;false;1711
43082066;false;1283
78351732;false;855
49615488;false;1710
5667372;false;1711
55809926;false;1283
40760181;false;1283
70737650;false;3849
71022623;false;2138
77703154;false;1711
65146429;false;1283
61425562;false;1283
41252461;false;856
15211598;false;1711
14286824;false;1283
38332365;false;1710
32835388;false;1283
18923017;false;1711
8365925;false;856
91915585;false;856
93691197;false;1283
3405111;false;1283
61317407;false;856
58530750;false;1283
30624242;false;1283
88134837;false;855
32838874;false;855
86002516;false;1711
35652659;false;1710
69084123;false;1283
23341747;false;1710
13077885;false;1283
27803732;false;1711
13563316;false;1283
38357891;false;855
1461552;false;1710
20071740;false;1711
71803538;false;1283
15025078;false;855
50693205;false;1710
20342745;false;1283
30058536;false;1283
14427357;false;1283
7441629;false;1283
96088575;false;1711
74823243;false;1711
73740364;false;1283
94969444;false;856
72281684;false;1283
92322907;false;1710
63122744;false;856
60507051;false;1283
93812407;false;855
64494432;false;1283
94207243;false;1283
72182076;false;1283
54449367;false;856
35698899;false;1283
29675506;false;1283
1660735;false;1283
26617425;false;1711
7003539;false;1283
99108060;false;856
83606289;false;1710
33924150;false;1283
60893461;false;428
93619043;false;855
25704081;false;1283
11981056;false;1710
47277208;false;1283
23469125;false;1283
85610822;false;855
50490908;false;1711
26550966;false;855
22677546;false;1283
67546937;false;1711
49780183;false;1283
76868610;false;1283
2404844;false;1283
53696157;false;856
95849699;false;856
45688619;false;1283
66655939;false;1283
48708248;false;1283
88635052;false;1283
87754460;false;855
56233683;false;1282
41966448;false;1711
79169597;false;1283
73390288;false;1283
86793687;false;1283
15821438;false;1283
83847327;false;1710
34116817;false;1711
57483836;false;856
8177225;false;1283
36164757;false;1283
63825712;false;1283
55439940;false;1283
3936910;false;1710
37289190;false;855
43545707;false;855
54658328;false;1283
39997528;false;1710
74511526;false;1283
8640883;false;1711
70063204;false;1283
68968811;false;1711
39810787;false;1283
19550491;false;1710
60049674;false;1283
66774625;false;1283
37355715;false;1283
56005359;false;856
6489251;false;1283
87397776;false;1710
97150848;false;1283
34743899;false;1283
93131463;false;1283
61060889;false;1283
28394598;false;1711
77129257;false;1283
13251677;false;1283
37831631;false;855
37221148;false;855
26109208;false;855
8674581;false;855
87566687;false;1283
92270065;false;856
19597702;false;1283
98724875;false;428
12347564;false;1711
80690494;false;1283
97724022;false;1283
10717158;false;1283
52192149;false;1711
3511226;false;1283
75952160;false;428
85492711;false;1283
56993947;false;1711
17043060;false;1711
89129903;false;1283
41727558;false;1283
24569179;false;855
76834846;false;1283
57697249;false;856
33512983;false;856
66871319;false;1283
94231410;false;855
90036111;false;1283
7200854;false;1283
1797224;false;1283
95343344;false;1282
89769636;false;855
47339808;false;1283
43231216;false;855
91141335;false;1283
53354015;false;1283
18936778;false;1283
